,id,dp1,dp2,dp3,dp4,dp5,dp6,dp7,dp8,dp9,dp10,dp11,dp12,dp13,dp14,dp15,dp16,dp17,dp18,dp19,dp20,dp21,dp22,dp23,dp24,dp25,counter,date,takes
285,53,30727,30702,30682,30671,30673,30688,30707,30724,30738,30752,30784,30869,31046,31331,31721,32185,32671,33119,33478,33719,33838,33849,33771,33633,33469,2631,2022-03-06-23-56-34.415041,A1
286,53,33309,33165,33037,32923,32814,32703,32593,32499,32436,32414,32432,32483,32554,32630,32695,32738,32751,32734,32690,32627,32554,32477,32404,32337,32271,2632,2022-03-06-23-56-34.775869,A1
287,53,32205,32135,32065,32000,31948,31914,31900,31905,31922,31943,31963,31979,31992,32006,32016,32021,32016,32000,31973,31949,31954,32023,32192,32479,32876,2633,2022-03-06-23-56-35.136618,A1
288,53,33351,33851,34313,34685,34936,35058,35061,34970,34824,34661,34514,34401,34313,34218,34095,33945,33775,33607,33472,33395,33368,33368,33381,33404,33433,2634,2022-03-06-23-56-35.453024,A1
289,53,33460,33475,33469,33436,33374,33293,33207,33127,33047,32963,32871,32778,32691,32614,32548,32491,32442,32409,32398,32411,32443,32488,32536,32579,32615,2635,2022-03-06-23-56-35.768456,A1
290,53,32641,32657,32663,32658,32644,32626,32611,32608,32633,32711,32872,33132,33492,33929,34389,34806,35125,35316,35379,35336,35228,35085,34926,34763,34603,2636,2022-03-06-23-56-36.083963,A1
291,53,34448,34303,34163,34022,33878,33738,33619,33540,33511,33525,33559,33590,33602,33590,33559,33516,33463,33397,33316,33222,33120,33017,32918,32826,32736,2637,2022-03-06-23-56-36.444944,A1
292,53,32646,32555,32466,32387,32319,32265,32222,32185,32151,32119,32084,32046,32004,31956,31900,31836,31764,31687,31605,31529,31472,31461,31524,31684,31941,2638,2022-03-06-23-56-36.805647,A1
293,53,32273,32633,32963,33213,33354,33381,33308,33159,32963,32747,32536,32343,32171,32015,31866,31723,31589,31484,31422,31411,31449,31517,31593,31656,31691,2639,2022-03-06-23-56-37.166247,A1
294,53,31696,31673,31630,31570,31503,31428,31349,31269,31193,31121,31056,30997,30945,30899,30861,30836,30826,30833,30855,30890,30934,30984,31034,31085,31134,2640,2022-03-06-23-56-37.436234,A1
295,53,31180,31221,31252,31272,31280,31283,31291,31332,31440,31642,31947,32340,32781,33210,33575,33835,33977,34007,33948,33828,33679,33527,33389,33271,33170,2641,2022-03-06-23-56-37.752565,A1
296,53,33079,32994,32912,32840,32789,32766,32778,32825,32900,32993,33089,33176,33241,33276,33277,33247,33194,33129,33063,33002,32945,32888,32822,32743,32651,2642,2022-03-06-23-56-38.114786,A1
297,53,32553,32456,32370,32298,32245,32211,32197,32200,32214,32237,32258,32271,32273,32264,32249,32236,32234,32245,32273,32315,32370,32443,32546,32707,32953,2643,2022-03-06-23-56-38.428219,A1
298,53,33294,33716,34183,34636,35014,35277,35407,35408,35307,35136,34931,34721,34522,34344,34178,34016,33849,33678,33508,33351,33224,33142,33119,33152,33230,2644,2022-03-06-23-56-38.834649,A1
299,53,33330,33431,33510,33559,33578,33575,33557,33530,33492,33446,33401,33364,33341,33329,33320,33304,33271,33220,33160,33098,33041,32989,32946,32913,32893,2645,2022-03-06-23-56-39.104707,A1
300,53,32888,32898,32917,32934,32933,32909,32859,32785,32692,32593,32501,32443,32450,32549,32749,33037,33368,33680,33910,34022,34004,33873,33653,33383,33098,2646,2022-03-06-23-56-39.420225,A1
301,53,32827,32587,32388,32226,32093,31982,31886,31814,31773,31768,31787,31814,31835,31838,31819,31782,31737,31691,31652,31620,31596,31575,31549,31511,31458,2647,2022-03-06-23-56-39.782536,A1
302,53,31388,31311,31233,31162,31102,31059,31038,31038,31059,31097,31146,31194,31226,31234,31220,31191,31154,31121,31100,31092,31095,31108,31133,31180,31272,2648,2022-03-06-23-56-40.141617,A1
303,53,31437,31691,32034,32442,32869,33257,33556,33738,33803,33767,33663,33529,33399,33287,33188,33090,32983,32863,32736,32615,32517,32456,32438,32464,32535,2649,2022-03-06-23-56-40.457160,A1
304,53,32645,32772,32892,32978,33015,33000,32944,32863,32776,32696,32631,32583,32550,32529,32517,32507,32492,32473,32452,32434,32418,32405,32398,32403,32426,2650,2022-03-06-23-56-40.773414,A1
305,53,32470,32539,32630,32732,32827,32896,32929,32923,32881,32813,32730,32654,32602,32599,32672,32849,33147,33561,34057,34582,35074,35476,35747,35868,35855,2651,2022-03-06-23-56-41.133634,A1
